,MorphemeSeparated,Morpheme,id,Part of Speech,Tense,Person,Number,Gender,Sub Part of Speech,Case,Negation
89,"{க,ு}",கு,4001,Verb,,,,,,Dative,
90,"{க,ு}",கு,4001,,,,,,,Dative,
91,"{வ,ர}",வர,4050,Noun,,,,,Participial Nouns,,
92,"{ண,ட}",ணட,4015,Verb,,3rd Person,Singular,Honorific,,,
93,"{்,ட}",ட,4022,Verb,,3rd Person,Singular,Honorific,,,
94,"{ர,்}",ர,4034,Verb,Present,3rd Person,Plural,Honorific,,,
95,"{ி,ன}",ின,4007,Verb,,3rd Person,Singular,Honorific,,,
96,"{ண,ட}",ணட,4015,Verb,,1st Person,Singular,,,,
97,{ன},ன,4017,Verb,Past,3rd Person,Plural,Honorific,,,
98,{ன},ன,4017,Verb,,1st Person,Singular,,,,
99,{த},த,4021,Verb,Past,3rd Person,Singular,,,,
100,{ன},ன,4017,Verb,Past,3rd Person,Singular,,,,
101,{க},க,4025,Verb,Future,3rd Person,Singular,,,,
102,{ா},ா,4028,Verb,,,,,,,Negated
103,{வ},வ,4031,Verb,,3rd Person,Singular,Honorific,,,
104,{த},த,4021,Verb,,3rd Person,Singular,Honorific,,,
105,{வ},வ,4031,Verb,,1st Person,Plural,,,,
106,{வ},வ,4031,Verb,Future,3rd Person,Plural,Honorific,,,
107,{ி},ி,4037,Verb,Past,3rd Person,Plural,,,,
108,{ன},ன,4017,Verb,Past,3rd Person,Plural,,,,
109,{ன},ன,4017,Verb,Present,3rd Person,Plural,,,,
110,{த},த,4021,Noun,,,,,Participial Nouns,,
111,{ப},ப,4033,Noun,,,,,Participial Nouns,,
112,{ை},ை,4000,Verb,,,,,,Accusative,
113,ை,ை,4000,,,,,,,Accusative,
