,key,id
0,ஸ,5177
1,ம,5178
2,ர,4034
3,ன,4017
4,ல,5181
5,ய,5182
6,க,4025
7,ப,4033
8,ட,4022
9,ண,5186
10,ங,5187
11,வ,4031
12,த,4021
13,அ,5190
14,ச,5191
15,ள,5192
16,ற,5193
17,ந,5194
18,ி,4037
19,ழ,5196
20,ு,5197
21,ஷ,5198
22,ஜ,5199
23,ை,4000
24,ெ,5201
25,ஃ,5202
26,ொ,5203
27,ா,4028
28,ீ,5205
29,ஞ,5206
30,ே,5207
31,û,5208
32,ஹ,5209
33,ோ,5210
34,H,5211
35,C,5212
36,ô,5213
